Clause,WeightType,Modulus,Residue
8,Hash_SHA256(i),1000003,0
9,Sequential,1009,0
9,Sequential,100003,0
9,Sequential,1000003,0
9,Polynomial,1009,0
9,Polynomial,100003,0
9,Polynomial,1000003,0
9,Exponential,1009,0
9,Exponential,100003,0
9,Exponential,1000003,0
9,Hash_SHA256(i),1009,0
9,Hash_SHA256(i),100003,0
9,Hash_SHA256(i),1000003,0
10,Sequential,1009,0
10,Sequential,100003,0
10,Sequential,1000003,0
10,Polynomial,1009,0
10,Polynomial,100003,0
10,Polynomial,1000003,0
10,Exponential,1009,0
10,Exponential,100003,0
10,Exponential,1000003,0
10,Hash_SHA256(i),1009,0
10,Hash_SHA256(i),100003,0
10,Hash_SHA256(i),1000003,0
11,Sequential,1009,0
11,Sequential,100003,0
11,Sequential,1000003,0
11,Polynomial,1009,0
11,Polynomial,100003,0
11,Polynomial,1000003,0
11,Exponential,1009,0
11,Exponential,100003,0
11,Exponential,1000003,0
11,Hash_SHA256(i),1009,0
11,Hash_SHA256(i),100003,0
11,Hash_SHA256(i),1000003,0
12,Sequential,1009,0
12,Sequential,100003,0
12,Sequential,1000003,0
12,Polynomial,1009,0
12,Polynomial,100003,0
12,Polynomial,1000003,0
12,Exponential,1009,0
12,Exponential,100003,0
12,Exponential,1000003,0
12,Hash_SHA256(i),1009,0
12,Hash_SHA256(i),100003,0
12,Hash_SHA256(i),1000003,0
13,Sequential,1009,0
13,Sequential,100003,0
13,Sequential,1000003,0
13,Polynomial,1009,0
13,Polynomial,100003,0
13,Polynomial,1000003,0
13,Exponential,1009,0
13,Exponential,100003,0
13,Exponential,1000003,0
13,Hash_SHA256(i),1009,0
13,Hash_SHA256(i),100003,0
13,Hash_SHA256(i),1000003,0
14,Sequential,1009,0
14,Sequential,100003,0
14,Sequential,1000003,0
14,Polynomial,1009,0
14,Polynomial,100003,0
14,Polynomial,1000003,0
14,Exponential,1009,0
14,Exponential,100003,0
14,Exponential,1000003,0
14,Hash_SHA256(i),1009,0
14,Hash_SHA256(i),100003,0
14,Hash_SHA256(i),1000003,0
15,Sequential,1009,0
15,Sequential,100003,0
15,Sequential,1000003,0
15,Polynomial,1009,0
15,Polynomial,100003,0
15,Polynomial,1000003,0
15,Exponential,1009,0
15,Exponential,100003,0
15,Exponential,1000003,0
15,Hash_SHA256(i),1009,0
15,Hash_SHA256(i),100003,0
15,Hash_SHA256(i),1000003,0
16,Sequential,1009,0
16,Sequential,100003,0
16,Sequential,1000003,0
16,Polynomial,1009,0
16,Polynomial,100003,0
16,Polynomial,1000003,0
16,Exponential,1009,0
16,Exponential,100003,0
16,Exponential,1000003,0
16,Hash_SHA256(i),1009,0
16,Hash_SHA256(i),100003,0
16,Hash_SHA256(i),1000003,0
17,Sequential,1009,0
17,Sequential,100003,0
17,Sequential,1000003,0
17,Polynomial,1009,0
17,Polynomial,100003,0
17,Polynomial,1000003,0
17,Exponential,1009,0
17,Exponential,100003,0
17,Exponential,1000003,0
17,Hash_SHA256(i),1009,0
17,Hash_SHA256(i),100003,0
17,Hash_SHA256(i),1000003,0
18,Sequential,1009,0
18,Sequential,100003,0
18,Sequential,1000003,0
18,Polynomial,1009,0
18,Polynomial,100003,0
18,Polynomial,1000003,0
18,Exponential,1009,0
18,Exponential,100003,0
18,Exponential,1000003,0
18,Hash_SHA256(i),1009,0
18,Hash_SHA256(i),100003,0
18,Hash_SHA256(i),1000003,0
19,Sequential,1009,0
19,Sequential,100003,0
19,Sequential,1000003,0
19,Polynomial,1009,0
19,Polynomial,100003,0
19,Polynomial,1000003,0
19,Exponential,1009,0
19,Exponential,100003,0
19,Exponential,1000003,0
19,Hash_SHA256(i),1009,0
19,Hash_SHA256(i),100003,0
19,Hash_SHA256(i),1000003,0
20,Sequential,1009,0
20,Sequential,100003,0
20,Sequential,1000003,0
20,Polynomial,1009,0
20,Polynomial,100003,0
20,Polynomial,1000003,0
20,Exponential,1009,0
20,Exponential,100003,0
20,Exponential,1000003,0
20,Hash_SHA256(i),1009,0
20,Hash_SHA256(i),100003,0
20,Hash_SHA256(i),1000003,0
21,Sequential,1009,0
21,Sequential,100003,0
21,Sequential,1000003,0
21,Polynomial,1009,0
21,Polynomial,100003,0
21,Polynomial,1000003,0
21,Exponential,1009,0
21,Exponential,100003,0
21,Exponential,1000003,0
21,Hash_SHA256(i),1009,0
21,Hash_SHA256(i),100003,0
21,Hash_SHA256(i),1000003,0
22,Sequential,1009,0
22,Sequential,100003,0
22,Sequential,1000003,0
22,Polynomial,1009,0
22,Polynomial,100003,0
22,Polynomial,1000003,0
22,Exponential,1009,0
22,Exponential,100003,0
22,Exponential,1000003,0
22,Hash_SHA256(i),1009,0
22,Hash_SHA256(i),100003,0
22,Hash_SHA256(i),1000003,0
23,Sequential,1009,0
23,Sequential,100003,0
23,Sequential,1000003,0
23,Polynomial,1009,0
23,Polynomial,100003,0
23,Polynomial,1000003,0
23,Exponential,1009,0
23,Exponential,100003,0
23,Exponential,1000003,0
23,Hash_SHA256(i),1009,0
23,Hash_SHA256(i),100003,0
23,Hash_SHA256(i),1000003,0
24,Sequential,1009,0
24,Sequential,100003,0
24,Sequential,1000003,0
24,Polynomial,1009,0
24,Polynomial,100003,0
24,Polynomial,1000003,0
24,Exponential,1009,0
24,Exponential,100003,0
24,Exponential,1000003,0
24,Hash_SHA256(i),1009,0
24,Hash_SHA256(i),100003,0
24,Hash_SHA256(i),1000003,0
25,Sequential,1009,0
25,Sequential,100003,0
25,Sequential,1000003,0
25,Polynomial,1009,0
25,Polynomial,100003,0
25,Polynomial,1000003,0
25,Exponential,1009,0
25,Exponential,100003,0
25,Exponential,1000003,0
25,Hash_SHA256(i),1009,0
25,Hash_SHA256(i),100003,0
25,Hash_SHA256(i),1000003,0
26,Sequential,1009,0
26,Sequential,100003,0
26,Sequential,1000003,0
26,Polynomial,1009,0
26,Polynomial,100003,0
26,Polynomial,1000003,0
26,Exponential,1009,0
26,Exponential,100003,0
26,Exponential,1000003,0
26,Hash_SHA256(i),1009,0
26,Hash_SHA256(i),100003,0
26,Hash_SHA256(i),1000003,0
27,Sequential,1009,0
27,Sequential,100003,0
27,Sequential,1000003,0
27,Polynomial,1009,0
27,Polynomial,100003,0
27,Polynomial,1000003,0
27,Exponential,1009,0
27,Exponential,100003,0
27,Exponential,1000003,0
27,Hash_SHA256(i),1009,0
27,Hash_SHA256(i),100003,0
27,Hash_SHA256(i),1000003,0
28,Sequential,1009,0
28,Sequential,100003,0
28,Sequential,1000003,0
28,Polynomial,1009,0
28,Polynomial,100003,0
28,Polynomial,1000003,0
28,Exponential,1009,0
28,Exponential,100003,0
28,Exponential,1000003,0
28,Hash_SHA256(i),1009,0
28,Hash_SHA256(i),100003,0
28,Hash_SHA256(i),1000003,0
29,Sequential,1009,0
29,Sequential,100003,0
29,Sequential,1000003,0
29,Polynomial,1009,0
29,Polynomial,100003,0
29,Polynomial,1000003,0
29,Exponential,1009,0
29,Exponential,100003,0
29,Exponential,1000003,0
29,Hash_SHA256(i),1009,0
29,Hash_SHA256(i),100003,0
29,Hash_SHA256(i),1000003,0
30,Sequential,1009,0
30,Sequential,100003,0
30,Sequential,1000003,0
30,Polynomial,1009,0
30,Polynomial,100003,0
30,Polynomial,1000003,0
30,Exponential,1009,0
30,Exponential,100003,0
30,Exponential,1000003,0
30,Hash_SHA256(i),1009,0
30,Hash_SHA256(i),100003,0
30,Hash_SHA256(i),1000003,0
31,Sequential,1009,0
31,Sequential,100003,0
31,Sequential,1000003,0
31,Polynomial,1009,0
31,Polynomial,100003,0
31,Polynomial,1000003,0
31,Exponential,1009,0
31,Exponential,100003,0
31,Exponential,1000003,0
31,Hash_SHA256(i),1009,0
31,Hash_SHA256(i),100003,0
31,Hash_SHA256(i),1000003,0
32,Sequential,1009,0
32,Sequential,100003,0
32,Sequential,1000003,0
32,Polynomial,1009,0
32,Polynomial,100003,0
32,Polynomial,1000003,0
32,Exponential,1009,0
32,Exponential,100003,0
32,Exponential,1000003,0
32,Hash_SHA256(i),1009,0
32,Hash_SHA256(i),100003,0
32,Hash_SHA256(i),1000003,0
33,Sequential,1009,0
33,Sequential,100003,0
33,Sequential,1000003,0
33,Polynomial,1009,0
33,Polynomial,100003,0
33,Polynomial,1000003,0
33,Exponential,1009,0
33,Exponential,100003,0
33,Exponential,1000003,0
33,Hash_SHA256(i),1009,0
33,Hash_SHA256(i),100003,0
33,Hash_SHA256(i),1000003,0
34,Sequential,1009,0
34,Sequential,100003,0
34,Sequential,1000003,0
34,Polynomial,1009,0
34,Polynomial,100003,0
34,Polynomial,1000003,0
34,Exponential,1009,0
34,Exponential,100003,0
34,Exponential,1000003,0
34,Hash_SHA256(i),1009,0
34,Hash_SHA256(i),100003,0
34,Hash_SHA256(i),1000003,0
35,Sequential,1009,0
35,Sequential,100003,0
35,Sequential,1000003,0
35,Polynomial,1009,0
35,Polynomial,100003,0
35,Polynomial,1000003,0
35,Exponential,1009,0
35,Exponential,100003,0
35,Exponential,1000003,0
35,Hash_SHA256(i),1009,0
35,Hash_SHA256(i),100003,0
35,Hash_SHA256(i),1000003,0
36,Sequential,1009,0
36,Sequential,100003,0
36,Sequential,1000003,0
36,Polynomial,1009,0
36,Polynomial,100003,0
36,Polynomial,1000003,0
36,Exponential,1009,0
36,Exponential,100003,0
36,Exponential,1000003,0
36,Hash_SHA256(i),1009,0
36,Hash_SHA256(i),100003,0
36,Hash_SHA256(i),1000003,0
37,Sequential,1009,0
37,Sequential,100003,0
37,Sequential,1000003,0
37,Polynomial,1009,0
37,Polynomial,100003,0
37,Polynomial,1000003,0
37,Exponential,1009,0
37,Exponential,100003,0
37,Exponential,1000003,0
37,Hash_SHA256(i),1009,0
37,Hash_SHA256(i),100003,0
37,Hash_SHA256(i),1000003,0
38,Sequential,1009,0
38,Sequential,100003,0
38,Sequential,1000003,0
38,Polynomial,1009,0
38,Polynomial,100003,0
38,Polynomial,1000003,0
38,Exponential,1009,0
38,Exponential,100003,0
38,Exponential,1000003,0
38,Hash_SHA256(i),1009,0
38,Hash_SHA256(i),100003,0
38,Hash_SHA256(i),1000003,0
39,Sequential,1009,0
39,Sequential,100003,0
39,Sequential,1000003,0
39,Polynomial,1009,0
39,Polynomial,100003,0
39,Polynomial,1000003,0
39,Exponential,1009,0
39,Exponential,100003,0
39,Exponential,1000003,0
39,Hash_SHA256(i),1009,0
39,Hash_SHA256(i),100003,0
39,Hash_SHA256(i),1000003,0
40,Sequential,1009,0
40,Sequential,100003,0
40,Sequential,1000003,0
40,Polynomial,1009,0
40,Polynomial,100003,0
40,Polynomial,1000003,0
40,Exponential,1009,0
40,Exponential,100003,0
40,Exponential,1000003,0
40,Hash_SHA256(i),1009,0
40,Hash_SHA256(i),100003,0
40,Hash_SHA256(i),1000003,0
41,Sequential,1009,0
41,Sequential,100003,0
41,Sequential,1000003,0
41,Polynomial,1009,0
41,Polynomial,100003,0
41,Polynomial,1000003,0
41,Exponential,1009,0
41,Exponential,100003,0
41,Exponential,1000003,0
41,Hash_SHA256(i),1009,0
41,Hash_SHA256(i),100003,0
41,Hash_SHA256(i),1000003,0
42,Sequential,1009,0
42,Sequential,100003,0
42,Sequential,1000003,0
42,Polynomial,1009,0
42,Polynomial,100003,0
42,Polynomial,1000003,0
42,Exponential,1009,0
42,Exponential,100003,0
42,Exponential,1000003,0
42,Hash_SHA256(i),1009,0
42,Hash_SHA256(i),100003,0
42,Hash_SHA256(i),1000003,0
43,Sequential,1009,0
43,Sequential,100003,0
43,Sequential,1000003,0
43,Polynomial,1009,0
43,Polynomial,100003,0
43,Polynomial,1000003,0
43,Exponential,1009,0
43,Exponential,100003,0
43,Exponential,1000003,0
43,Hash_SHA256(i),1009,0
43,Hash_SHA256(i),100003,0
43,Hash_SHA256(i),1000003,0
44,Sequential,1009,0
44,Sequential,100003,0
44,Sequential,1000003,0
44,Polynomial,1009,0
44,Polynomial,100003,0
44,Polynomial,1000003,0
44,Exponential,1009,0
44,Exponential,100003,0
44,Exponential,1000003,0
44,Hash_SHA256(i),1009,0
44,Hash_SHA256(i),100003,0
44,Hash_SHA256(i),1000003,0
45,Sequential,1009,0
45,Sequential,100003,0
45,Sequential,1000003,0
45,Polynomial,1009,0
45,Polynomial,100003,0
45,Polynomial,1000003,0
45,Exponential,1009,0
45,Exponential,100003,0
45,Exponential,1000003,0
45,Hash_SHA256(i),1009,0
45,Hash_SHA256(i),100003,0
45,Hash_SHA256(i),1000003,0
46,Sequential,1009,0
46,Sequential,100003,0
46,Sequential,1000003,0
46,Polynomial,1009,0
46,Polynomial,100003,0
46,Polynomial,1000003,0
46,Exponential,1009,0
46,Exponential,100003,0
46,Exponential,1000003,0
46,Hash_SHA256(i),1009,0
46,Hash_SHA256(i),100003,0
46,Hash_SHA256(i),1000003,0
47,Sequential,1009,0
47,Sequential,100003,0
47,Sequential,1000003,0
47,Polynomial,1009,0
47,Polynomial,100003,0
47,Polynomial,1000003,0
47,Exponential,1009,0
47,Exponential,100003,0
47,Exponential,1000003,0
47,Hash_SHA256(i),1009,0
47,Hash_SHA256(i),100003,0
47,Hash_SHA256(i),1000003,0
48,Sequential,1009,0
48,Sequential,100003,0
48,Sequential,1000003,0
48,Polynomial,1009,0
48,Polynomial,100003,0
48,Polynomial,1000003,0
48,Exponential,1009,0
48,Exponential,100003,0
48,Exponential,1000003,0
48,Hash_SHA256(i),1009,0
48,Hash_SHA256(i),100003,0
48,Hash_SHA256(i),1000003,0
49,Sequential,1009,0
49,Sequential,100003,0
49,Sequential,1000003,0
49,Polynomial,1009,0
49,Polynomial,100003,0
49,Polynomial,1000003,0
49,Exponential,1009,0
49,Exponential,100003,0
49,Exponential,1000003,0
49,Hash_SHA256(i),1009,0
49,Hash_SHA256(i),100003,0
49,Hash_SHA256(i),1000003,0
50,Sequential,1009,0
50,Sequential,100003,0
50,Sequential,1000003,0
50,Polynomial,1009,0
50,Polynomial,100003,0
50,Polynomial,1000003,0
50,Exponential,1009,0
50,Exponential,100003,0
50,Exponential,1000003,0
50,Hash_SHA256(i),1009,0
50,Hash_SHA256(i),100003,0
50,Hash_SHA256(i),1000003,0
51,Sequential,1009,0
51,Sequential,100003,0
51,Sequential,1000003,0
51,Polynomial,1009,0
51,Polynomial,100003,0
51,Polynomial,1000003,0
51,Exponential,1009,0
51,Exponential,100003,0
51,Exponential,1000003,0
51,Hash_SHA256(i),1009,0
51,Hash_SHA256(i),100003,0
51,Hash_SHA256(i),1000003,0
52,Sequential,1009,0
52,Sequential,100003,0
52,Sequential,1000003,0
52,Polynomial,1009,0
52,Polynomial,100003,0
52,Polynomial,1000003,0
52,Exponential,1009,0
52,Exponential,100003,0
52,Exponential,1000003,0
52,Hash_SHA256(i),1009,0
52,Hash_SHA256(i),100003,0
52,Hash_SHA256(i),1000003,0
53,Sequential,1009,0
53,Sequential,100003,0
53,Sequential,1000003,0
53,Polynomial,1009,0
53,Polynomial,100003,0
53,Polynomial,1000003,0
53,Exponential,1009,0
53,Exponential,100003,0
53,Exponential,1000003,0
53,Hash_SHA256(i),1009,0
53,Hash_SHA256(i),100003,0
53,Hash_SHA256(i),1000003,0
54,Sequential,1009,0
54,Sequential,100003,0
54,Sequential,1000003,0
54,Polynomial,1009,0
54,Polynomial,100003,0
54,Polynomial,1000003,0
54,Exponential,1009,0
54,Exponential,100003,0
54,Exponential,1000003,0
54,Hash_SHA256(i),1009,0
54,Hash_SHA256(i),100003,0
54,Hash_SHA256(i),1000003,0
55,Sequential,1009,0
55,Sequential,100003,0
55,Sequential,1000003,0
55,Polynomial,1009,0
55,Polynomial,100003,0
55,Polynomial,1000003,0
55,Exponential,1009,0
55,Exponential,100003,0
55,Exponential,1000003,0
55,Hash_SHA256(i),1009,0
55,Hash_SHA256(i),100003,0
55,Hash_SHA256(i),1000003,0
56,Sequential,1009,0
56,Sequential,100003,0
56,Sequential,1000003,0
56,Polynomial,1009,0
56,Polynomial,100003,0
56,Polynomial,1000003,0
56,Exponential,1009,0
56,Exponential,100003,0
56,Exponential,1000003,0
56,Hash_SHA256(i),1009,0
56,Hash_SHA256(i),100003,0
56,Hash_SHA256(i),1000003,0
57,Sequential,1009,0
57,Sequential,100003,0
57,Sequential,1000003,0
57,Polynomial,1009,0
57,Polynomial,100003,0
57,Polynomial,1000003,0
57,Exponential,1009,0
57,Exponential,100003,0
57,Exponential,1000003,0
57,Hash_SHA256(i),1009,0
57,Hash_SHA256(i),100003,0
57,Hash_SHA256(i),1000003,0
58,Sequential,1009,0
58,Sequential,100003,0
58,Sequential,1000003,0
58,Polynomial,1009,0
58,Polynomial,100003,0
58,Polynomial,1000003,0
58,Exponential,1009,0
58,Exponential,100003,0
58,Exponential,1000003,0
58,Hash_SHA256(i),1009,0
58,Hash_SHA256(i),100003,0
58,Hash_SHA256(i),1000003,0
59,Sequential,1009,0
59,Sequential,100003,0
59,Sequential,1000003,0
59,Polynomial,1009,0
59,Polynomial,100003,0
59,Polynomial,1000003,0
59,Exponential,1009,0
59,Exponential,100003,0
59,Exponential,1000003,0
59,Hash_SHA256(i),1009,0
59,Hash_SHA256(i),100003,0
59,Hash_SHA256(i),1000003,0
60,Sequential,1009,0
60,Sequential,100003,0
60,Sequential,1000003,0
60,Polynomial,1009,0
60,Polynomial,100003,0
60,Polynomial,1000003,0
60,Exponential,1009,0
60,Exponential,100003,0
60,Exponential,1000003,0
60,Hash_SHA256(i),1009,0
60,Hash_SHA256(i),100003,0
60,Hash_SHA256(i),1000003,0
61,Sequential,1009,0
61,Sequential,100003,0
61,Sequential,1000003,0
61,Polynomial,1009,0
61,Polynomial,100003,0
61,Polynomial,1000003,0
61,Exponential,1009,0
61,Exponential,100003,0
61,Exponential,1000003,0
61,Hash_SHA256(i),1009,0
61,Hash_SHA256(i),100003,0
61,Hash_SHA256(i),1000003,0
62,Sequential,1009,0
62,Sequential,100003,0
62,Sequential,1000003,0
62,Polynomial,1009,0
62,Polynomial,100003,0
62,Polynomial,1000003,0
62,Exponential,1009,0
62,Exponential,100003,0
62,Exponential,1000003,0
62,Hash_SHA256(i),1009,0
62,Hash_SHA256(i),100003,0
62,Hash_SHA256(i),1000003,0
63,Sequential,1009,0
63,Sequential,100003,0
63,Sequential,1000003,0
63,Polynomial,1009,0
63,Polynomial,100003,0
63,Polynomial,1000003,0
63,Exponential,1009,0
63,Exponential,100003,0
63,Exponential,1000003,0
63,Hash_SHA256(i),1009,0
63,Hash_SHA256(i),100003,0
63,Hash_SHA256(i),1000003,0
64,Sequential,1009,0
64,Sequential,100003,0
64,Sequential,1000003,0
64,Polynomial,1009,0
64,Polynomial,100003,0
64,Polynomial,1000003,0
64,Exponential,1009,0
64,Exponential,100003,0
64,Exponential,1000003,0
64,Hash_SHA256(i),1009,0
64,Hash_SHA256(i),100003,0
64,Hash_SHA256(i),1000003,0
65,Sequential,1009,0
65,Sequential,100003,0
65,Sequential,1000003,0
65,Polynomial,1009,0
65,Polynomial,100003,0
65,Polynomial,1000003,0
65,Exponential,1009,0
65,Exponential,100003,0
65,Exponential,1000003,0
65,Hash_SHA256(i),1009,0
65,Hash_SHA256(i),100003,0
65,Hash_SHA256(i),1000003,0
66,Sequential,1009,0
66,Sequential,100003,0
66,Sequential,1000003,0
66,Polynomial,1009,0
66,Polynomial,100003,0
66,Polynomial,1000003,0
66,Exponential,1009,0
66,Exponential,100003,0
66,Exponential,1000003,0
66,Hash_SHA256(i),1009,0
66,Hash_SHA256(i),100003,0
66,Hash_SHA256(i),1000003,0
67,Sequential,1009,0
67,Sequential,100003,0
67,Sequential,1000003,0
67,Polynomial,1009,0
67,Polynomial,100003,0
67,Polynomial,1000003,0
67,Exponential,1009,0
67,Exponential,100003,0
67,Exponential,1000003,0
67,Hash_SHA256(i),1009,0
67,Hash_SHA256(i),100003,0
67,Hash_SHA256(i),1000003,0
68,Sequential,1009,0
68,Sequential,100003,0
68,Sequential,1000003,0
68,Polynomial,1009,0
68,Polynomial,100003,0
68,Polynomial,1000003,0
68,Exponential,1009,0
68,Exponential,100003,0
68,Exponential,1000003,0
68,Hash_SHA256(i),1009,0
68,Hash_SHA256(i),100003,0
68,Hash_SHA256(i),1000003,0
69,Sequential,1009,0
69,Sequential,100003,0
69,Sequential,1000003,0
69,Polynomial,1009,0
69,Polynomial,100003,0
69,Polynomial,1000003,0
69,Exponential,1009,0
69,Exponential,100003,0
69,Exponential,1000003,0
69,Hash_SHA256(i),1009,0
69,Hash_SHA256(i),100003,0
69,Hash_SHA256(i),1000003,0
70,Sequential,1009,0
70,Sequential,100003,0
70,Sequential,1000003,0
70,Polynomial,1009,0
70,Polynomial,100003,0
70,Polynomial,1000003,0
70,Exponential,1009,0
70,Exponential,100003,0
70,Exponential,1000003,0
70,Hash_SHA256(i),1009,0
70,Hash_SHA256(i),100003,0
70,Hash_SHA256(i),1000003,0
71,Sequential,1009,0
71,Sequential,100003,0
71,Sequential,1000003,0
71,Polynomial,1009,0
71,Polynomial,100003,0
71,Polynomial,1000003,0
71,Exponential,1009,0
71,Exponential,100003,0
71,Exponential,1000003,0
71,Hash_SHA256(i),1009,0
71,Hash_SHA256(i),100003,0
71,Hash_SHA256(i),1000003,0
72,Sequential,1009,0
72,Sequential,100003,0
72,Sequential,1000003,0
72,Polynomial,1009,0
72,Polynomial,100003,0
72,Polynomial,1000003,0
72,Exponential,1009,0
72,Exponential,100003,0
72,Exponential,1000003,0
72,Hash_SHA256(i),1009,0
72,Hash_SHA256(i),100003,0
72,Hash_SHA256(i),1000003,0
73,Sequential,1009,0
73,Sequential,100003,0
73,Sequential,1000003,0
73,Polynomial,1009,0
73,Polynomial,100003,0
73,Polynomial,1000003,0
73,Exponential,1009,0
73,Exponential,100003,0
73,Exponential,1000003,0
73,Hash_SHA256(i),1009,0
73,Hash_SHA256(i),100003,0
73,Hash_SHA256(i),1000003,0
74,Sequential,1009,0
74,Sequential,100003,0
74,Sequential,1000003,0
74,Polynomial,1009,0
74,Polynomial,100003,0
74,Polynomial,1000003,0
74,Exponential,1009,0
74,Exponential,100003,0
74,Exponential,1000003,0
74,Hash_SHA256(i),1009,0
74,Hash_SHA256(i),100003,0
74,Hash_SHA256(i),1000003,0
75,Sequential,1009,0
75,Sequential,100003,0
75,Sequential,1000003,0
75,Polynomial,1009,0
75,Polynomial,100003,0
75,Polynomial,1000003,0
75,Exponential,1009,0
75,Exponential,100003,0
75,Exponential,1000003,0
75,Hash_SHA256(i),1009,0
75,Hash_SHA256(i),100003,0
75,Hash_SHA256(i),1000003,0
76,Sequential,1009,0
76,Sequential,100003,0
76,Sequential,1000003,0
76,Polynomial,1009,0
76,Polynomial,100003,0
76,Polynomial,1000003,0
76,Exponential,1009,0
76,Exponential,100003,0
76,Exponential,1000003,0
76,Hash_SHA256(i),1009,0
76,Hash_SHA256(i),100003,0
76,Hash_SHA256(i),1000003,0
77,Sequential,1009,0
77,Sequential,100003,0
77,Sequential,1000003,0
77,Polynomial,1009,0
77,Polynomial,100003,0
77,Polynomial,1000003,0
77,Exponential,1009,0
77,Exponential,100003,0
77,Exponential,1000003,0
77,Hash_SHA256(i),1009,0
77,Hash_SHA256(i),100003,0
77,Hash_SHA256(i),1000003,0
78,Sequential,1009,0
78,Sequential,100003,0
78,Sequential,1000003,0
78,Polynomial,1009,0
78,Polynomial,100003,0
78,Polynomial,1000003,0
78,Exponential,1009,0
78,Exponential,100003,0
78,Exponential,1000003,0
78,Hash_SHA256(i),1009,0
78,Hash_SHA256(i),100003,0
78,Hash_SHA256(i),1000003,0
79,Sequential,1009,0
79,Sequential,100003,0
79,Sequential,1000003,0
79,Polynomial,1009,0
79,Polynomial,100003,0
79,Polynomial,1000003,0
79,Exponential,1009,0
79,Exponential,100003,0
79,Exponential,1000003,0
79,Hash_SHA256(i),1009,0
79,Hash_SHA256(i),100003,0
79,Hash_SHA256(i),1000003,0
80,Sequential,1009,0
80,Sequential,100003,0
80,Sequential,1000003,0
80,Polynomial,1009,0
80,Polynomial,100003,0
80,Polynomial,1000003,0
80,Exponential,1009,0
80,Exponential,100003,0
80,Exponential,1000003,0
80,Hash_SHA256(i),1009,0
80,Hash_SHA256(i),100003,0
80,Hash_SHA256(i),1000003,0
81,Sequential,1009,0
81,Sequential,100003,0
81,Sequential,1000003,0
81,Polynomial,1009,0
81,Polynomial,100003,0
81,Polynomial,1000003,0
81,Exponential,1009,0
81,Exponential,100003,0
81,Exponential,1000003,0
81,Hash_SHA256(i),1009,0
81,Hash_SHA256(i),100003,0
81,Hash_SHA256(i),1000003,0
82,Sequential,1009,0
82,Sequential,100003,0
82,Sequential,1000003,0
82,Polynomial,1009,0
82,Polynomial,100003,0
82,Polynomial,1000003,0
82,Exponential,1009,0
82,Exponential,100003,0
82,Exponential,1000003,0
82,Hash_SHA256(i),1009,0
82,Hash_SHA256(i),100003,0
82,Hash_SHA256(i),1000003,0
83,Sequential,1009,0
83,Sequential,100003,0
83,Sequential,1000003,0
83,Polynomial,1009,0
83,Polynomial,100003,0
83,Polynomial,1000003,0
83,Exponential,1009,0
83,Exponential,100003,0
